iteration,objective,FAST_PERIOD,SIGNAL_PERIOD,SLOW_PERIOD
0,n/a,11,12,3
1,1.859750509262085,7,5,4
2,2.519547939300537,4,10,3
3,1.1217929124832153,5,8,3
4,2.691896915435791,7,8,3
5,0.5324856638908386,10,4,4
6,2.951525926589966,6,9,3
7,1.9659795761108398,11,4,3
8,n/a,12,4,3
9,n/a,12,9,3
10,n/a,4,3,3
11,0.25347036123275757,9,7,3
12,n/a,11,9,3
13,0.456533282995224,10,8,3
14,2.424099922180176,11,6,3
15,n/a,12,3,3
16,-0.16789408028125763,10,7,3
17,n/a,12,8,3
18,0.7244023680686951,8,5,3
19,n/a,3,5,4
20,1.361064076423645,6,5,3
21,n/a,3,3,4
22,n/a,11,3,4
23,0.06856456398963928,10,4,3
24,-2.417318105697632,10,9,3
25,n/a,11,3,3
26,-0.7526941895484924,9,4,4
27,n/a,5,3,3
28,0.8375588059425354,4,5,4
29,0.06856456398963928,10,6,3
30,n/a,9,3,3
31,3.3362925052642822,4,11,3
32,n/a,6,3,3
33,0.8550403118133545,5,5,3
34,1.419293761253357,6,10,3
35,n/a,3,9,3
36,0.6681366562843323,8,6,3
37,n/a,4,3,4
38,0.8375588059425354,5,4,3
39,n/a,7,3,3
40,0.15829502046108246,8,10,3
41,1.5481936931610107,9,12,3
42,n/a,3,7,3
43,n/a,12,6,3
44,n/a,12,3,4
45,1.3523746728897095,7,9,3
46,1.697677493095398,6,4,3
47,0.088612399995327,9,5,3
48,2.2040579319000244,6,5,4
49,3.2961912155151367,7,7,3
50,-0.3322824239730835,9,6,3
51,0.088612399995327,9,4,3
52,n/a,3,12,3
53,n/a,9,3,4
54,1.697677493095398,5,5,4
55,-2.669793128967285,10,11,3
56,2.01652455329895,11,7,3
57,2.2668445110321045,6,8,3
58,2.4127607345581055,5,9,3
59,0.019759217277169228,8,4,4
60,0.6780115365982056,6,6,3
61,n/a,7,3,4
62,1.900026798248291,4,8,3
63,2.9607887268066406,6,4,4
64,n/a,3,10,3
65,n/a,11,4,4
66,-1.9144139289855957,10,10,3
67,2.8588874340057373,6,11,3
68,n/a,3,11,3
69,0.17647095024585724,9,8,3
70,n/a,12,5,3
71,0.8754637241363525,8,8,3
72,n/a,10,3,3
73,5.093721866607666,4,12,3
74,n/a,3,6,3
75,0.7537021040916443,4,9,3
76,-0.004228393547236919,6,12,3
77,1.1433734893798828,6,7,3
78,-1.9144139289855957,10,12,3
79,n/a,3,4,4
80,0.5619275569915771,4,7,3
81,0.24224214255809784,4,4,3
82,-0.7762624025344849,4,6,3
83,n/a,12,4,4
84,3.4262378215789795,7,4,3
85,0.4988175928592682,4,5,3
86,n/a,3,4,3
87,1.1453139781951904,8,12,3
88,2.610158681869507,5,12,3
89,1.9958016872406006,11,8,3
90,2.0674774646759033,9,10,3
91,0.7604809403419495,7,10,3
92,2.559356451034546,5,10,3
93,0.4811832010746002,8,9,3
94,0.9118613600730896,5,7,3
95,n/a,11,11,3
96,n/a,3,8,3
97,0.06856456398963928,10,5,3
98,n/a,8,3,4
99,0.8183853030204773,8,11,3
100,n/a,11,10,3
101,n/a,12,12,3
102,3.423766851425171,5,11,3
103,1.859750509262085,7,4,4
104,n/a,5,3,4
105,n/a,10,3,4
106,1.9659795761108398,11,5,3
107,0.5409311056137085,8,7,3
108,0.9374227523803711,9,9,3
109,0.6570892333984375,7,12,3
110,0.7244023680686951,8,4,3
111,2.8831257820129395,7,6,3
112,2.827059745788574,7,5,3
113,1.0856151580810547,4,4,4
114,1.4315190315246582,5,4,4
115,n/a,8,3,3
116,n/a,12,11,3
117,n/a,3,3,3
118,-0.1083238497376442,7,11,3
119,n/a,12,10,3
120,1.1700153350830078,5,6,3
121,n/a,12,7,3
122,n/a,6,3,4
123,-2.4274134635925293,9,11,3
124,n/a,3,5,3
